Mouse ID,Treatment,Time (ZT),Per.Intensity
106,DF,10,4.504278004
107,DF,14,4.635952773
108,DF,22,5.237504021
109,DF,6,4.287765208
110,DF,10,4.119535301
111,DF,18,3.149932717
112,DF,2,2.761763357
113,DF,6,5.258859309
416,DF,18,2.880119988
417,DF,18,2.7713723
419,DF,2,4.100655036
420,LF,14,3.40546331
421,LF,2,5.423879561
422,LF,10,3.658649855
423,LF,22,3.540482485
424,LF,6,3.285952764
425,DF,22,4.752406588
426,DF,14,4.278224634
427,DF,14,3.072786697
429,LF,2,3.921612439
430,LF,10,2.614584121
431,LF,18,2.691416211
581,DF,22,3.415310275
582,DF,14,3.831237411
583,DF,2,7.426900585
584,DF,10,4.289225482
585,LF,22,5.25062669
586,LF,6,3.575744212
587,LF,18,4.383438307
588,LF,10,2.70759751
589,DF,2,1.651895777
590,DF,10,3.766199721
593,LF,22,3.445756727
594,LF,14,3.73204897
595,LF,2,4.518498631
596,LF,14,2.354501886
655,LF,18,3.638009261
656,LF,22,3.683690654
657,LF,2,4.567601302
658,LF,6,2.811482343
659,LF,6,4.370623157
661,LF,14,3.134952221
662,LF,18,4.673365556
663,DF,2,3.71152235
664,DF,10,3.585445938
665,DF,6,5.546999374
666,DF,22,3.687342898
667,DF,22,3.142687997
668,DF,18,3.536528561
670,DF,14,4.221368948
766,DF,10,3.997304916
767,DF,2,5.956018144
768,LF,2,4.282555922
769,DF,6,4.351306972
770,LF,6,5.813939176
771,LF,10,3.203771209
772,LF,18,3.689983658
773,LF,14,3.876594873
774,DF,18,4.614601818
775,DF,14,4.984781072
776,DF,18,7.586253584
777,DF,6,5.190839373
778,LF,10,2.672773754
779,DF,22,3.857437604
780,LF,6,3.856102561
781,LF,22,4.016562832
Miri116,DF,2,3.05611197
Miri151,DF,6,2.561354865
Miri155,DF,6,2.526974909
Miri159,DF,18,2.601429011
Miri161,DF,6,2.509413938
Miri170,DF,14,2.448421147
Miri174,LF,2,2.636415372
Miri178,LF,22,2.658042399
Miri181,DF,2,2.497967366
Miri182,DF,10,2.178918542
Miri185,LF,10,2.374046012
Miri187,LF,10,1.744070051
Miri190,DF,6,2.378798143
Miri199,LF,14,3.119499537
Miri58,DF,18,2.883183569
Miri62,DF,22,2.129988833
MiriLS189,LF,2,2.790257899
MiriLS191,LF,6,2.853148946
MiriLS194,LF,14,1.825125994
MiriLS197,DF,18,2.757310077
MiriLS198,LF,22,2.41074595
MiriLS199,LF,22,2.674565561
MiriLS200,DF,22,2.524890857
