Mouse ID,Treatment,Time (ZT),Per.intensity
106,DF,10,4.124777142
107,DF,14,2.567278404
108,DF,22,3.431843472
109,DF,6,4.463531482
110,DF,10,2.779032755
111,DF,18,3.268862449
112,DF,2,5.111945531
416,DF,18,2.568087275
419,DF,2,4.501578305
420,LF,14,2.528791982
421,LF,2,6.250409012
422,LF,10,4.934654701
423,LF,22,2.281878914
424,LF,6,4.2980332
425,DF,22,2.98312351
426,DF,14,2.261715097
427,DF,14,1.752353536
429,LF,2,7.039102322
430,LF,10,3.668951069
431,LF,18,3.109690936
581,DF,22,1.995347194
582,DF,14,1.98494075
583,DF,2,5.204445468
586,LF,6,4.715304646
587,LF,18,2.390829068
588,LF,10,3.642101254
589,DF,2,4.476544718
590,DF,10,2.734775046
591,DF,6,8.265537048
593,LF,22,1.980824804
594,LF,14,1.33570053
595,LF,2,5.353654306
596,LF,14,1.594505288
655,LF,18,1.886354364
656,LF,22,2.577629711
657,LF,2,5.178108497
658,LF,6,4.054810084
661,LF,14,1.967425329
663,DF,2,5.54426456
664,DF,10,4.484156247
666,DF,22,3.208253459
667,DF,22,2.131575279
668,DF,18,2.172281056
670,DF,14,2.223402234
766,DF,10,3.70002742
767,DF,2,5.976049516
768,LF,2,6.587778256
769,DF,6,7.216060425
770,LF,6,8.072560937
771,LF,10,4.077076105
772,LF,18,2.459661438
773,LF,14,2.832940604
774,DF,18,2.08101197
775,DF,14,2.311327832
777,DF,6,5.963805303
778,LF,10,3.950773276
780,LF,6,7.458847275
781,LF,22,2.940808007
Miri108,LF,6,5.858899201
Miri112,DF,2,4.651014257
Miri114,LF,10,3.025200297
Miri116,DF,2,4.02406148
Miri118,DF,10,3.522124308
Miri119,DF,22,2.908050029
Miri120,DF,10,3.095809923
Miri151,DF,6,5.204946112
Miri155,DF,6,4.192185393
Miri160,DF,6,3.552719308
Miri174,LF,2,2.840188409
Miri180,DF,10,2.73170842
Miri181,DF,2,3.471171956
Miri182,DF,10,2.378953132
Miri183,DF,2,3.161469758
Miri187,LF,10,3.250117887
Miri190,DF,6,3.47862739
Miri193,DF,6,6.118191852
Miri197,LF,10,3.597129067
Miri198,LF,14,2.488703022
Miri200,LF,14,1.804188466
Miri51,LF,2,3.921935937
Miri52,LF,6,4.443798581
Miri54,DF,10,5.281316612
Miri55,DF,10,3.091357937
Miri64,LF,10,2.365452536
MiriLFNT,LF,6,5.443178061
MiriLS187,DF,6,5.141828737
MiriLS189,LF,2,3.137066402
MiriLS191,LF,6,6.762697816
MiriLS192,LF,10,3.341049895
MiriLS193,LF,18,3.174845453
MiriLS194,LF,14,1.980988722
MiriLS195,DF,22,2.598161855
